iteration,global_ari,average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,prior_random_loss,prior_kmeans_loss
0,0.9919999681285151,0.9919992163297293,0.9919999681285151,0.9919992163297293,0.0,0.0,-11450.930806481323,-11440.816502412395,-11442.350250578918,
1,1.0,1.0,1.0,1.0,0.046546385286522336,0.9608073772615455,-12179.33571048985,-12171.71910142777,-12173.024931270686,-12440.603758943114
2,0.9681867408982421,0.9680928067883501,0.9681867408982421,0.9680928067883501,0.9681867408982421,0.9680928067883501,-11378.620620453867,-11361.482979318927,-11364.162048632183,-11364.162053871505
3,0.99199998169963,0.9919992163297293,0.99199998169963,0.9919992163297293,0.99199998169963,0.9919992163297293,-11628.367854957021,-11623.488842892659,-11624.977577107697,-11624.977577107697
4,0.9603197771916554,0.9601596317047221,0.9524797560977303,0.9521567784070418,0.0,0.0,-11819.2626940645,-11804.813703038877,-11807.006167697025,
5,0.9840320634059188,0.9841602586080228,0.9840320634059188,0.9841602586080228,0.06783162115837037,0.8516741498339002,-11774.033058210178,-11766.647818754684,-11768.13797393684,-12063.079244301456
6,1.0,1.0,0.9919993156243355,0.992,0.9919993156243355,0.992,-11715.029049341018,-11706.8332694363,-11708.87343915749,-11708.87343915749
7,1.0,1.0,0.991999993576374,0.992,0.991999993576374,0.992,-11644.406289799665,-11639.690074055274,-11641.383525753457,-11641.383524929444
8,0.9919993156243355,0.99199877740731,0.9919993156243355,0.99199877740731,0.5230411465163078,0.827633697615779,-11405.861934010527,-11398.907479579477,-11400.916441377884,-11541.718002298376
9,0.99199998169963,0.9919993417272899,1.0,1.0,1.0,1.0,-11617.617711290199,-11613.65470988751,-11615.125712510184,-11615.125712510184
10,0.991999181468012,0.9919992163297293,0.9840302890156833,0.9839987774932922,0.9840302890156833,0.9839987774932922,-11968.150019948027,-11959.679603980087,-11961.565213931313,-11961.565212054516
11,1.0,1.0,0.9919999691484065,0.9919993417272899,0.004583759713874032,0.04473295934253211,-11626.99303967151,-11620.029702912605,-11621.472714370677,
12,0.9919999681285151,0.9919992163297293,0.9919999681285151,0.9919992163297293,0.9919999681285151,0.9919992163297293,-11669.810443007842,-11664.849841980951,-11666.316344746883,-11666.316344746883
13,0.9840320460697916,0.983998902890853,0.9840320460697916,0.983998902890853,0.9840320460697916,0.983998902890853,-11489.324783587863,-11482.145350944947,-11483.608230306681,-11483.608233048692
14,0.9919999681285151,0.9919995611635631,0.9919999681285151,0.9919995611635631,0.9919999681285151,0.9919995611635631,-11536.829871638682,-11531.04954371568,-11532.77586270253,-11532.775863733777
15,0.9919999328927508,0.992,0.9840319571353601,0.984,0.4667556495690436,0.8411457903436098,-11352.592731141836,-11341.068508131417,-11342.977871789108,-11596.188526920627
